feat_3,feat_4
4,83
1,55
6,93
7,32
8,75
3,68
5,46
7,55
4,57
9,59
2,23
7,16
2,16
5,3
2,32
7,26
9,51
10,87
9,89
7,34
5,65
4,51
3,41
3,51
0,31
9,0
5,68
5,28
8,5
3,53
3,17
4,4
1,80
9,59
3,34
2,83
6,49
9,69
5,38
0,28
-1,3
0,2
2,37
2,58
4,2
3,20
6,51
1,88
1,47
3,47
3,25
2,33
7,22
4,16
7,53
4,9
4,46
4,61
3,57
2,14
2,45
6,44
9,7
0,30
7,12
6,72
8,88
3,12
5,35
9,46
8,40
9,6
5,74
9,66
5,9
3,68
5,46
0,5
6,62
4,64
5,65
6,56
1,81
5,70
4,25
3,82
8,65
9,78
7,43
5,42
8,5
5,68
6,41
7,60
2,47
1,82
-1,29
1,4
6,-1
2,45
9,68
6,70
7,22
10,72
6,85
3,73
4,55
8,-1
7,53
5,21
8,33
9,8
8,17
3,20
8,27
4,5
2,67
2,73
0,28
-1,53
0,71
4,59
7,45
1,85
0,39
6,7
2,13
6,41
2,45
2,74
4,17
3,24
9,22
9,7
7,10
7,16
3,67
8,43
3,17
2,63
8,59
6,71
2,16
1,70
4,44
4,45
10,23
2,89
2,75
8,88
7,81
3,87
4,11
7,89
0,76
5,24
4,39
9,36
1,16
8,81
2,44
8,45
1,31
9,60
1,69
4,3
8,83
2,19
8,8
0,5
9,11
2,33
3,75
7,2
0,15
8,11
4,32
7,30
3,10
7,53
2,-4
6,46
7,7
1,41
5,66
7,34
10,31
5,20
10,4
5,20
7,54
9,2
1,78
2,19
3,41
3,66
9,40
4,63
2,85
1,29
9,88
3,42
5,33
5,5
5,21
5,35
6,76
4,21
8,14
9,56
8,42
4,84
2,59
2,3
1,64
-1,53
5,86
4,43
9,79
0,25
6,62
2,57
1,2
6,15
1,74
0,48
4,29
8,32
1,17
-1,50
6,51
8,54
0,0
8,71
0,38
7,48
5,69
8,81
2,14
8,30
4,27
8,33
6,15
6,-5
7,3
5,63
1,17
6,65
6,3
5,17
1,86
5,34
-1,80
3,59
7,76
6,84
8,88
4,33
7,88
6,59
4,25
4,63
4,68
8,74
9,87
-1,6
8,17
1,73
4,7
5,18
10,41
2,21
3,75
0,52
0,60
5,84
3,54
6,45
1,53
3,23
4,60
4,44
6,26
0,56
1,31
6,92
3,8
6,37
1,28
4,55
9,22
2,33
2,24
10,12
2,44
0,83
2,59
6,60
3,10
5,61
9,64
7,21
3,55
2,3
3,35
2,85
2,35
9,80
4,39
8,37
8,65
1,13
1,16
1,26
8,6
2,54
5,89
2,71
10,25
8,17
6,41
3,11
2,56
-1,71
2,89
2,76
8,65
1,84
9,36
3,11
1,14
2,9
5,37
8,67
3,25
1,45
5,1
7,31
8,47
2,35
2,18
8,10
7,75
9,44
5,89
7,39
9,18
9,21
5,27
5,36
-1,23
0,3
6,24
4,58
-1,32
3,2
4,76
10,61
2,68
6,9
2,76
-1,72
6,22
0,15
2,27
4,76
6,62
-1,33
7,51
3,61
2,2
2,71
0,36
3,80
-1,3
0,3
0,74
7,85
5,59
4,46
8,2
8,1
4,48
10,62
0,81
3,26
3,69
3,86
8,52
8,25
2,5
9,61
1,34
2,75
1,4
6,17
7,4
6,21
7,35
3,51
3,7
8,0
9,1
0,25
8,88
3,-3
2,3
2,54
6,10
5,22
8,78
2,71
4,34
3,88
9,76
2,48
8,87
0,74
4,60
9,80
0,17
9,27
7,76
7,66
2,14
6,54
9,37
2,79
4,51
4,1
0,14
3,73
9,36
5,88
7,34
7,80
1,88
-1,51
8,45
4,28
2,75
8,75
7,39
1,32
5,45
10,72
0,53
10,72
7,86
7,77
3,58
8,39
6,9
2,88
0,7
0,17
4,92
4,12
7,13
4,36
6,80
6,47
6,66
2,91
10,49
0,60
-1,34
1,93
7,17
7,51
3,27
8,6
9,8
1,73
1,75
5,47
5,18
10,71
8,-1
2,31
9,60
0,72
0,62
4,44
4,43
2,16
9,33
6,7
3,63
7,25
2,74
6,54
9,74
2,16
5,17
9,1
6,62
4,59
2,2
2,86
5,55
6,17
5,82
8,54
4,15
3,5
9,10
7,7
6,72
8,32
3,6
1,21
6,64
8,41
5,49
2,40
6,3
7,74
4,44
8,39
8,42
8,30
6,80
0,2
4,31
9,11
5,39
5,50
7,75
7,87
6,43
10,10
5,59
8,75
5,50
9,47
1,94
8,17
8,20
5,65
0,75
9,62
3,29
7,38
4,57
4,21
3,46
2,77
1,7
8,18
9,80
0,7
3,4
0,68
0,77
5,20
7,39
1,39
5,55
2,8
0,83
9,46
2,72
5,3
2,25
4,22
5,75
4,72
5,81
7,32
-1,73
0,41
9,12
9,35
6,25
1,77
5,40
-1,27
3,80
3,17
3,61
2,87
7,47
7,39
0,37
0,88
0,21
-1,30
-1,17
4,19
1,51
8,82
10,80
1,67
-1,27
4,85
7,54
10,41
6,31
3,54
5,39
7,60
3,76
1,42
6,23
2,32
7,12
9,88
7,81
5,74
0,6
4,84
1,27
9,48
9,5
5,31
2,20
3,49
2,83
5,63
6,33
1,68
5,77
6,88
2,38
0,25
8,64
5,32
8,56
4,30
0,49
1,7
1,52
9,3
1,20
0,79
4,71
10,55
4,26
7,59
8,-3
7,21
2,35
7,9
9,12
5,22
3,53
1,48
3,32
6,41
5,81
9,26
2,60
1,45
7,57
6,15
0,25
7,86
5,31
9,-2
6,34
6,9
1,68
0,-4
9,16
0,26
1,8
1,78
0,33
9,65
0,93
4,32
4,16
7,10
10,57
6,46
4,61
7,61
0,45
0,48
4,38
4,0
3,37
4,33
2,9
6,69
3,38
8,15
0,5
9,56
9,86
1,2
8,40
0,40
2,74
2,62
6,60
3,24
2,58
0,63
4,46
8,15
2,32
4,60
2,49
2,11
-1,25
8,46
5,80
3,76
2,11
5,35
4,24
0,60
9,69
8,14
2,56
8,18
1,65
4,32
5,93
7,26
2,31
8,6
2,69
2,47
6,80
1,51
5,30
3,81
2,39
4,51
3,65
1,0
3,33
5,68
6,27
7,37
2,74
7,52
3,55
1,41
5,72
3,20
8,3
5,86
2,73
1,87
1,64
4,62
1,52
2,64
5,53
9,70
8,10
1,81
6,72
5,34
7,77
1,41
5,74
8,50
7,35
3,27
1,56
6,75
7,49
5,63
1,12
1,85
3,91
2,4
7,34
8,48
0,86
-1,85
3,80
6,14
6,68
3,2
6,49
10,30
8,91
0,76
6,7
9,35
4,85
3,54
3,8
6,64
0,25
4,68
-1,33
7,34
9,50
9,40
7,7
8,59
5,45
5,33
5,66
3,72
5,19
6,51
7,47
10,4
8,36
5,68
0,51
0,7
2,48
7,7
4,6
3,81
8,11
6,74
7,31
5,81
8,14
3,58
0,13
3,22
10,6
2,14
4,56
7,59
6,80
1,27
8,66
6,5
3,77
5,13
9,31
6,17
0,31
5,68
8,5
0,26
-1,30
6,40
7,77
8,55
7,11
5,45
6,66
2,2
2,32
-1,19
9,26
0,74
9,-1
0,21
5,93
1,33
6,46
6,46
6,79
2,45
9,25
7,65
10,16
7,26
5,15
0,19
6,49
3,92
4,89
2,48
4,38
3,56
6,24
5,54
3,47
6,76
1,69
3,2
4,68
8,79
5,4
5,20
-1,17
5,85
8,67
7,45
3,83
1,8
3,50
2,83
7,43
7,61
1,63
3,56
9,91
2,33
1,-1
10,29
8,76
9,50
8,20
10,48
0,2
8,87
8,60
3,77
7,41
7,31
4,41
8,10
8,67
3,-5
2,51
5,84
2,14
10,14
1,17
0,26
6,63
8,15
9,42
8,88
6,6
5,37
7,48
1,14
4,45
0,69
1,89
0,21
9,5
6,77
9,31
6,62
5,55
5,22
4,88
9,55
9,43
6,15
8,68
8,68
3,13
1,27
1,31
4,71
1,87
0,3
3,51
-1,40
4,26
9,58
6,83
0,7
0,30
6,68
0,19
6,11
10,26
6,68
2,82
1,31
6,17
8,19
5,38
5,36
3,68
0,66
9,69
5,79
3,62
3,78
5,41
0,29
0,14
9,36
5,72
4,87
8,74
1,79
1,72
5,87
1,64
5,3
1,6
0,86
6,29
7,80
6,88
6,42
-1,10
0,26
1,39
5,10
3,4
6,42
2,12
2,40
9,63
4,10
8,60
4,11
6,84
9,37
8,59
2,56
3,68
2,65
6,20
8,0
5,12
4,22
9,-1
4,21
3,33
4,53
4,65
1,45
1,15
-1,85
0,77
0,76
6,18
8,72
3,9
9,52
8,72
2,83
2,81
2,80
3,66
7,80
1,45
2,18
0,44
8,8
1,31
6,37
6,75
6,0
7,71
5,79
5,48
5,63
-1,87
7,13
9,88
9,81
2,68
8,75
2,17
7,8
7,51
7,45
4,53
8,11
4,12
1,8
3,88
5,47
8,28
2,64
5,9
6,55
1,78
4,3
3,34
1,12
9,45
5,21
8,83
2,73
3,88
8,23
9,86
7,91
9,92
7,49
3,8
0,23
4,88
9,73
6,40
3,6
7,41
6,13
6,63
9,89
0,64
0,73
9,8
1,13
5,76
2,79
3,53
0,59
3,37
2,84
4,55
8,11
9,31
7,9
4,13
5,42
4,81
5,51
1,82
8,-3
9,10
6,24
2,35
2,67
2,86
3,66
8,89
4,10
6,73
10,2
7,42
0,36
2,61
8,20
5,78
7,71
5,79
2,2
7,12
3,17
6,22
9,54
4,3
0,10
6,71
5,0
6,15
2,19
8,45
4,5
9,6
4,9
4,91
4,50
9,18
5,69
8,55
0,4
1,42
7,30
1,77
2,5
4,24
4,28
5,16
7,31
6,75
1,30
5,35
7,8
2,52
3,56
10,39
7,14
1,25
1,-4
7,61
3,15
4,69
7,25
5,24
5,15
8,36
8,40
7,39
2,57
7,57
1,56
6,43
1,31
7,20
5,51
9,23
1,4
1,71
2,64
5,27
1,82
1,39
7,45
5,24
7,65
6,48
8,53
4,74
1,53
9,61
2,-3
2,30
3,35
9,44
8,84
2,65
5,70
6,52
3,35
8,43
6,28
1,39
2,13
3,14
3,55
6,33
4,29
3,76
3,61
0,31
2,57
9,35
10,73
3,53
0,57
8,17
3,1
4,77
3,24
8,27
